club_name,races_attended
Rüdersdorfer RV Kalkberge,"['2266', '2910', '4271', '4716', '7180']"
Società Canottieri Arolo,"['2266', '2910']"
Raptor Youth Rowing Club,"['158', '592', '621', '631', '702', '1113', '1156', '1173', '1207', '1256', '1391', '1474', '1475', '1581', '1666', '1710', '1758', '1763', '1793', '1938', '1990', '2045', '2050', '2129', '2141', '2156', '2282', '2287', '2367', '2598', '2606', '2696', '2702', '2704', '2762', '2956', '2972', '3178', '3261', '3291', '3323']"
SAS,['4004']
Conshohocken Rowing Center Inc.,"['4016', '4017', '4018', '4110', '4116', '4119', '4164', '4215', '4550', '4551', '4557', '4584', '4693', '4699', '4723', '4789', '4816', '4912', '4915', '4977', '5034', '5068', '5078', '5079', '5099', '5121', '5162', '5163', '5171', '5247', '5306', '5317', '5320', '5321', '5349', '5404', '5420', '5421', '5478', '5616', '5656', '5658', '5689', '5757', '5772', '5824', '5857', '5875', '5905', '5970', '5988', '6051', '6077', '6091', '6118', '6141', '6142', '6143', '6195', '6196', '6199', '6207', '6265', '6266', '6277', '6278', '6279', '6304', '6320', '6415', '6457', '6488', '6549', '6616', '6722', '6781', '7115', '7132', '7180', '7193', '7246', '7248', '7249', '7276', '7346']"
Tasmania,"['2760', '3014', '4004']"
University of Toronto Rowing Club,"['62', '572', '965', '2432', '2530', '4870', '4887', '5187', '5277', '5424', '5638', '6048', '6053', '6055', '6073', '6276', '6407', '6502', '6689']"
USR Development Camp- U. of Massachusetts,"['311', '360', '398']"
Team 'On a Wing and a Prayer',['1840']
Jurmala,"['2266', '2542', '2910', '4271']"
DeWolfe,"['3644', '3937']"
Friends School,['3477']
RV Ister Linz,['6228']
Fly,['7215']
Crossfit Waco,['5438']
21 ,['6228']
Huntingdon Boat Club,['4271']
Bogazici University Rowing Team,['5536']
The Hockaday School,"['15', '71', '107', '192', '238', '281', '379', '394', '429', '490', '491', '604', '614', '623', '635', '673', '817', '915', '952', '974', '984', '991', '1050', '1096', '1149', '1151', '1199', '1200', '1258', '1333', '1335', '1336', '1365', '1477', '1487', '1502', '1567', '1899', '2021', '2022', '2023', '2133', '2285', '2302', '2411', '2468', '2632', '2634', '2934', '2938', '3181', '3395', '3443', '3484', '3502', '3508', '3515', '3516', '3748', '3757', '3776', '3845', '3846', '3905', '4015', '4109', '4128', '4195', '4196', '4361', '4507', '4518', '4519', '4549', '4583', '4592', '4673', '4699', '4739', '4792', '4809', '4883', '4958', '4959', '5073', '5100', '5101', '5126', '5348', '5438', '5483', '5519', '5520', '5596', '5644', '5863', '6126', '6127', '6128', '6141', '6143', '6192', '6206', '6280', '6387', '6583', '6633', '7052', '7058', '7245', '7247']"
Southern New Hampshire University,"['11', '22', '125', '141', '354', '597', '947', '1441', '1479', '1748', '3008', '3329', '4156']"
Richmond Secondary School,['2138']
Centennial Collegiate Vocational Institute,"['2138', '2330', '2994', '3028', '3705', '3737', '3971', '4049', '4179', '4225', '4462', '4726', '5012', '5081', '5086', '5142', '5577', '5603', '5812', '5830', '6182', '6433', '6436', '6771']"
CrossFit Annandale,"['3435', '3897']"
Parana rowing club,['7193']
Clydesdale ARC,"['2910', '4271', '4716', '6142', '6228']"
Scotch Oakburn College,"['4004', '4511']"
Ardingly Rowing Club,"['2910', '4271', '4716', '5656', '5772', '6228']"
